image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
10x_2025-05-15_02-05-00.tif,10,10x,11,512,2048,0.8487892,0.37328338623046875,0.3210563659667969
10x_2025-05-15_02-05-00.tif,10,10x,12,512,2560,0.8159294,0.39562225341796875,0.3219566345214844
10x_2025-05-15_02-05-00.tif,10,10x,13,512,3072,0.7790909,0.41745758056640625,0.3371315002441406
10x_2025-05-15_02-05-00.tif,10,10x,14,1024,0,0.8313103,0.4065742492675781,0.38629913330078125
10x_2025-05-15_02-05-00.tif,10,10x,15,1024,512,0.8506279,0.3724403381347656,0.3262214660644531
10x_2025-05-15_02-05-00.tif,10,10x,16,1024,1024,0.87036514,0.3467445373535156,0.3470115661621094
10x_2025-05-15_02-05-00.tif,10,10x,17,1024,1536,0.8659096,0.3650016784667969,0.3307037353515625
10x_2025-05-15_02-05-00.tif,10,10x,18,1024,2048,0.8473129,0.37166595458984375,0.3171653747558594
10x_2025-05-15_02-05-00.tif,10,10x,19,1024,2560,0.8097191,0.3997611999511719,0.3158988952636719
10x_2025-05-15_02-05-00.tif,10,10x,20,1024,3072,0.79624176,0.4062652587890625,0.339019775390625
10x_2025-05-15_02-05-00.tif,10,10x,21,1536,0,0.79068756,0.4244346618652344,0.39453887939453125
10x_2025-05-15_02-05-00.tif,10,10x,22,1536,512,0.8385849,0.38513946533203125,0.3732147216796875
10x_2025-05-15_02-05-00.tif,10,10x,23,1536,1024,0.85490036,0.3634300231933594,0.37509918212890625
10x_2025-05-15_02-05-00.tif,10,10x,24,1536,1536,0.8469238,0.3794403076171875,0.3435020446777344
10x_2025-05-15_02-05-00.tif,10,10x,25,1536,2048,0.83501816,0.387786865234375,0.33325958251953125
10x_2025-05-15_02-05-00.tif,10,10x,26,1536,2560,0.80425644,0.4126091003417969,0.3519554138183594
10x_2025-05-15_02-05-00.tif,10,10x,27,1536,3072,0.7789688,0.4280548095703125,0.35413360595703125
